ParameterValue,Mean,StdDev,CI_Lower,CI_Upper,Min,Max,Median,NumRuns
100.00,0.1653229579,0.0073942194,0.1613270458,0.1693188701,0.1546023261,0.1748029214,0.1678953771,15
250.00,0.1814568147,0.0061421650,0.1781375256,0.1847761038,0.1731684283,0.1940885373,0.1813439741,15
500.00,0.2148625841,0.0071210748,0.2110142821,0.2187108861,0.1989520175,0.2254504582,0.2133358789,15
750.00,0.2494233989,0.0074978135,0.2453715034,0.2534752944,0.2380747976,0.2650642955,0.2509897250,15
1000.00,0.2931248140,0.0059003758,0.2899361903,0.2963134377,0.2832462787,0.3013030109,0.2930857497,15
1250.00,0.3266585079,0.0084845714,0.3220733583,0.3312436574,0.3092425484,0.3409055103,0.3278355005,15
1500.00,0.3657522541,0.0100633021,0.3603139422,0.3711905659,0.3402858063,0.3796647417,0.3670982533,15
1750.00,0.4053197779,0.0088956168,0.4005124951,0.4101270606,0.3871853775,0.4238486441,0.4050480141,15
2000.00,0.4246846430,0.0060484348,0.4214160067,0.4279532793,0.4149774041,0.4322754611,0.4276886867,15
